COUNTYFP5,COUNTY_NAME,population,osm_hospitals,matched_facilities,mean_drive_min
48167,Galveston,350682,7,0,14.8
48245,Jefferson,256526,11,0,61.6
48209,Hays,241067,4,0,26.5
48041,Brazos,233849,4,0,50.4
48091,Comal,161501,4,0,24.0
48257,Kaufman,145310,2,0,20.8
48397,Rockwall,107819,4,0,19.6
48021,Bastrop,97216,3,0,32.1
48291,Liberty,91628,2,0,28.7
48361,Orange,84808,2,0,75.6
48099,Coryell,83093,1,0,15.0
48203,Harrison,68839,1,0,23.1
48323,Maverick,57887,1,0,42.0
48199,Hardin,56231,1,0,71.9
48373,Polk,50123,1,0,42.8
48277,Lamar,50088,2,0,49.4
48493,Wilson,49753,1,0,28.6
48053,Burnet,49130,2,0,33.0
48013,Atascosa,48981,1,0,32.3
48071,Chambers,46571,3,0,19.1
48055,Caldwell,45883,2,0,28.2
48499,Wood,44843,2,0,34.2
48259,Kendall,44279,1,0,26.8
48143,Erath,42545,1,0,32.7
48481,Wharton,41570,2,0,31.7
48223,Hopkins,36787,1,0,35.5
48477,Washington,35805,1,0,46.4
48147,Fannin,35662,2,0,30.9
48227,Howard,34860,3,0,20.8
48241,Jasper,32980,1,0,46.4
48015,Austin,30167,1,0,25.8
48185,Grimes,29268,1,0,34.6
48067,Cass,28454,1,0,30.1
48365,Panola,22491,1,0,33.3
48293,Limestone,22146,2,0,40.1
48281,Lampasas,21627,1,0,22.8
48179,Gray,21227,1,0,32.0
48337,Montague,19965,1,0,25.2
48457,Tyler,19798,1,0,55.7
48253,Jones,19663,2,0,22.9
48161,Freestone,19435,1,0,35.3
48003,Andrews,18610,1,0,28.1
48035,Bosque,18235,1,0,30.4
48133,Eastland,17725,1,0,34.5
48051,Burleson,17642,1,0,68.3
48145,Falls,16968,1,0,32.3
48239,Jackson,14988,1,0,25.7
48255,Karnes,14710,1,0,33.9
48093,Comanche,13594,1,0,35.9
48313,Madison,13455,1,0,29.9
48063,Camp,12464,1,0,16.4
48115,Dawson,12456,1,0,29.2
48445,Terry,11831,1,0,26.8
48077,Clay,10218,1,0,20.6
48369,Parmer,9869,1,0,21.7
48425,Somervell,9205,1,0,19.5
48405,San Augustine,7918,1,0,28.8
48495,Winkler,7791,1,0,25.2
48307,McCulloch,7630,1,0,45.0
48437,Swisher,6971,1,0,22.9
48391,Refugio,6741,1,0,34.6
48207,Haskell,5416,1,0,23.7
48195,Hansford,5285,1,0,29.5
48107,Crosby,5133,1,0,32.8
48103,Crane,4675,1,0,30.6
48151,Fisher,3672,1,0,24.7
48197,Hardeman,3549,1,0,22.6
48383,Reagan,3385,1,0,60.6
48211,Hemphill,3382,1,0,32.8
48435,Sutton,3372,1,0,22.7
48461,Upton,3308,2,0,43.4
48095,Concho,3303,1,0,38.0
48087,Collingsworth,2652,1,0,42.1
48079,Cochran,2547,1,0,25.6
48109,Culberson,2188,1,0,68.7
48447,Throckmorton,1440,1,0,29.4
48433,Stonewall,1245,1,0,41.5
