COUNTYFP5,women_15_44,mean_drive_min,COUNTY_NAME
48105,489,79.06715998865354,Crockett
48109,220,69.44997617583019,Culberson
48269,39,68.1457923408809,King
48443,50,66.49339504786397,Terrell
48137,239,66.38897835988156,Edwards
48377,887,66.03928260810653,Presidio
48435,499,64.05382953822776,Sutton
48383,664,63.986071482964974,Reagan
48311,95,60.6762878254159,McMullen
48229,569,59.834603115984436,Hudspeth
48483,906,59.20230503740107,Wheeler
48433,195,57.344882947785536,Stonewall
48327,158,57.139949670321585,Menard
48345,167,56.37033352170491,Motley
48125,198,56.11864499205706,Dickens
48247,803,56.06751685362453,Jim Hogg
48351,1878,55.84092148898384,Newton
48403,1356,55.80224947277356,Sabine
48393,142,50.031236249000095,Roberts
48129,531,49.98071911254137,Donley
48241,5531,48.81285760791051,Jasper
48429,1340,48.77474953344869,Stephens
48267,684,47.382459437061584,Kimble
48505,2776,47.08254472693369,Zapata
48045,173,46.96399800471468,Briscoe
48461,532,46.042813523535074,Upton
48307,1112,45.61105002574463,McCulloch
48385,155,43.89449313081768,Real
48207,819,43.67532020306412,Haskell
48457,2622,43.029587647013834,Tyler
48495,1329,42.648882330662545,Winkler
48133,3049,41.720074110456146,Eastland
48321,6325,41.2321905957954,Matagorda
48413,416,40.84637263300222,Schleicher
48289,2704,40.57815878467441,Leon
48211,506,39.79396427890793,Hemphill
48447,247,39.77410543945124,Throckmorton
48095,322,39.27121130070053,Concho
48115,1912,39.264200548997955,Dawson
48405,1185,38.92335246993023,San Augustine
48293,3520,38.303260689861354,Limestone
48315,1325,38.24374169374091,Marion
48047,1154,38.185295499966415,Brooks
48419,4129,37.97711907449179,Shelby
48287,3062,37.623766518207475,Lee
48169,764,37.544269374060875,Garza
48331,4185,37.43330938333098,Milam
48173,187,36.56820090594724,Glasscock
48333,618,36.32675489492569,Mills
48431,247,36.04416424279747,Sterling
48033,145,35.34935493874778,Borden
48417,495,35.33942902781817,Shackelford
48337,3398,35.03634094991616,Montague
48161,3229,34.8038659730854,Freestone
48243,118,34.7114234231604,Jeff Davis
48255,2529,34.58283387055925,Karnes
48365,3898,33.7901056990344,Panola
48481,7751,33.67208409516544,Wharton
48179,3720,33.66549853792863,Gray
48391,1126,33.403030874970604,Refugio
48081,496,32.52000200206514,Coke
48421,520,32.4835136231786,Sherman
48193,1296,32.475494984212794,Hamilton
48411,963,32.21306163472013,San Saba
48467,10564,31.898684134117506,Van Zandt
48225,3134,31.85859725153912,Houston
48013,9644,31.73884601741157,Atascosa
48011,266,31.44361063802361,Armstrong
48319,615,31.43998323723303,Mason
48093,2169,31.425242977368452,Comanche
48067,4695,31.151484472390834,Cass
48475,2165,30.997628196427225,Ward
48155,301,30.89340139040052,Foard
48369,1681,30.89196400957423,Parmer
48019,2731,30.856293101305862,Bandera
48195,891,30.670418669403716,Hansford
48359,345,30.617750754330167,Oldham
48107,889,30.481263135707728,Crosby
48295,554,30.16900484322873,Lipscomb
48007,3611,30.00731005765975,Aransas
48395,2616,29.999403225844123,Robertson
48103,774,29.9532524288202,Crane
48297,1840,29.882459931387327,Live Oak
48087,518,29.773695613301406,Collingsworth
48283,1081,29.644394606034734,La Salle
48399,1666,29.61363148109932,Runnels
48271,365,29.43178558937445,Kinney
48499,6781,29.3860292166268,Wood
